"gene","terms","newTerms"
"YDR393W","membrane;mitochond;ion;membrane organization;molecular_function","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;cellular process;metabolic process;cellular metabolic process;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process"
"YGL171W","nucle;nucleolus;ion;ATP","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;intracellular;cell;nucleus;protein localization;membrane-enclosed lumen;nuclear lumen;macromolecule localization;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;molecular_function;catalytic activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;pyrophosphatase activity;nucleoside-triphosphatase activity;ATPase activity;ATPase activity, coupled"
"YPR194C","membrane;transport;ion;regulation;positive;transporter","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;organic substance transport;ion transport;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process;positive regulation of biological process;negative regulation of biological process;regulation of metabolic process;positive regulation of cellular process;ion transmembrane transporter activity;inorganic molecular entity transmembrane transporter activity;anion transmembrane transporter activity;organic anion transmembrane transporter activity;organic acid transmembrane transporter activity;carboxylic acid transmembrane transporter activity"
"YGR019W","cytosol;catabolic process;","all;biological_process;cellular process;localization;transport;establishment of localization;biological regulation;cellular ion homeostasis;cellular calcium ion homeostasis;cellular metal ion homeostasis;metabolic process;catabolic process;organic substance metabolic process;organic substance catabolic process;cellular metabolic process;cellular catabolic process;primary metabolic process"
"YNL208W",";biological_process;molecular_function","biological_process;molecular_function"
"YJL188C","cellular_component;;molecular_function","cellular_component;molecular_function"
"YLL057C","cellular_component;catabolic process;","cellular_component;all;biological_process;metabolic process;catabolic process;organic substance metabolic process;organic substance catabolic process;cellular process;cellular metabolic process;cellular catabolic process;primary metabolic process"
"YBR296C","membrane;transport;ion;","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;organic substance transport;ion transport;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YNL277W",";metabolic process;ion;","all;biological_process;metabolic process;organic substance metabolic process;cellular process;cellular metabolic process;primary metabolic process;nitrogen compound metabolic process;small molecule metabolic process;organic cyclic compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process"
"YMR040W",";biological_process;molecular_function","biological_process;molecular_function"
"YDR077W","mitochond;ion;","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process"
"YMR266W","membrane;transport;molecular_function","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;organic substance transport;ion transport"
"YKR064W",";negative;regulation;ion;transcription;RNA polymerase","all;biological_process;biological regulation;regulation of biological process;negative regulation of biological process;cellular process;regulation of cellular process;negative regulation of cellular process;metabolic process;regulation of metabolic process;positive regulation of biological process;multicellular organismal process;organic substance metabolic process;cellular metabolic process;macromolecule metabolic process;nitrogen compound metabolic process;primary metabolic process;nucleobase-containing compound metabolic process;cellular aromatic compound metabolic process;RNA metabolic process;cellular nitrogen compound metabolic process"
"YPL089C","nucle;ion;positive;regulation;transcription;RNA polymerase","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;positive regulation of biological process;positive regulation of cellular process;regulation of metabolic process;negative regulation of biological process;macromolecule metabolic process;nucleobase-containing compound metabolic process;RNA metabolic process"
"YGR277C",";;",""
"YDL139C","nucle;ion;protein;negative;regulation;catabolic process;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;macromolecule metabolic process;negative regulation of biological process;negative regulation of cellular process;regulation of metabolic process;positive regulation of biological process;catabolic process;organic substance catabolic process;cellular catabolic process"
"YDR246W",";transport;ion;","all;biological_process;localization;establishment of localization;transport;organic substance transport;molecular_function;transporter activity;transmembrane transporter activity;ion transport;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YOR288C",";protein;","all;biological_process;cellular process;biological regulation;regulation of biological process;metabolic process;macromolecule metabolic process;organic substance metabolic process;nitrogen compound metabolic process;primary metabolic process"
"YCR028C","membrane;transport;transmembrane;transporter","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;organic substance transport;ion transport;ion transmembrane transporter activity;inorganic molecular entity transmembrane transporter activity;anion transmembrane transporter activity;organic anion transmembrane transporter activity;organic acid transmembrane transporter activity;carboxylic acid transmembrane transporter activity"
"YML054C","mitochond;membrane;metabolic process;dehydrogenase","all;biological_process;cellular process;metabolic process;cellular metabolic process;localization;cellular component organization or biogenesis;cellular component organization;organic substance metabolic process;nitrogen compound metabolic process;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;primary metabolic process;small molecule metabolic process;organic cyclic compound metabolic process;catalytic activity;oxidoreductase activity;oxidoreductase activity, acting on CH-OH group of donors;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;oxidoreductase activity, acting on the aldehyde or oxo group of donors;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;oxidoreductase activity, acting on the CH-CH group of donors;oxidoreductase activity, acting on the CH-NH group of donors;oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor;protein-containing complex;steroid dehydrogenase activity;catalytic complex"
"YLR179C","cytoplasm;biological_process;molecular_function","all;biological_process;cellular_component;cell;cell part;intracellular;intracellular part;cellular process;cytoplasm;cytoplasmic part;molecular_function"
"YOR141C","nucle;repair;ion;ATP","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;response to stimulus;response to stress;macromolecule metabolic process;cellular macromolecule metabolic process;cellular response to stimulus;nucleobase-containing compound metabolic process;heterocycle metabolic process;nucleic acid metabolic process;organic cyclic compound metabolic process;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;molecular_function;catalytic activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;pyrophosphatase activity;nucleoside-triphosphatase activity;ATPase activity;ATPase activity, coupled"
"YPL280W","cytoplasm;;peptidase","all;biological_process;cellular_component;cell;cell part;intracellular;intracellular part;cellular process;cytoplasm;cytoplasmic part;molecular_function;catalytic activity;catalytic activity, acting on a protein;hydrolase activity;peptidase activity;peptidase activity, acting on L-amino acid peptides;biological regulation;regulation of biological process"
"YBL106C","membrane;transport;molecular_function","all;biological_process;localization;establishment of localization;transport;cellular_component;molecular_function;transporter activity;transmembrane transporter activity;transmembrane transport;organic substance transport;ion transport"
"YGL044C",";ion;","all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YER107C","nucle;cytoplasm;ion;regulation;molecular_function","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;cell;cell part;intracellular;intracellular part;cytoplasm;cytoplasmic part;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process;positive regulation of biological process;negative regulation of biological process;regulation of metabolic process;molecular_function"
"YBR038W",";ion;","all;biological_process;biological regulation;cellular process;regulation of biological process;regulation of cellular process;multicellular organismal process;metabolic process;organic substance metabolic process;cellular metabolic process"
"YGR259C","cellular_component;biological_process;molecular_function","cellular_component;biological_process;molecular_function"
"YEL047C","cytosol;;NADH","all;biological_process;cellular process;localization;transport;establishment of localization;biological regulation;cellular ion homeostasis;cellular calcium ion homeostasis;cellular metal ion homeostasis;molecular_function;catalytic activity;oxidoreductase activity;nucleobase-containing compound metabolic process;cellular aromatic compound metabolic process;nucleoside phosphate metabolic process;phosphorus metabolic process"
"YPR016C","nucle;nucleolus;cytoplasm;ion;","all;biological_process;cellular process;metabolic process;organic substance metabolic process;cellular metabolic process;nitrogen compound metabolic process;primary metabolic process;cellular aromatic compound metabolic process;cellular nitrogen compound metabolic process;cellular_component;intracellular;cell;nucleus;protein localization;membrane-enclosed lumen;nuclear lumen;macromolecule localization;cell part;intracellular part;cytoplasm;cytoplasmic part;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process"
"YLR157C",";catabolic process;starvation;ion;","all;biological_process;metabolic process;catabolic process;organic substance metabolic process;organic substance catabolic process;cellular process;cellular metabolic process;cellular catabolic process;primary metabolic process;response to stress;response to external stimulus;response to extracellular stimulus;response to nutrient levels;response to stimulus;response to starvation;cell communication;cellular response to stress;cellular response to stimulus;cellular response to extracellular stimulus;cellular response to nutrient levels;cellular response to external stimulus;cellular response to starvation;biological regulation;regulation of biological process;regulation of cellular process;multicellular organismal process"
